question,choice1,choice2,choice3,choice4,answer,period,category,level,type,source,sourceType,sourceYear,reference,keywords,explanation,concept,wrongPoint,memory,image
"구석기 시대의 대표적인 생활 모습으로 옳은 것은?","농경을 시작하였다","주로 사냥과 채집을 하였다","청동기를 사용하였다","벼농사를 본격적으로 실시하였다","2","선사","사회","중","기본","자체제작","자체제작","2026","한국사 선사시대","구석기,사냥,채집","구석기인은 주로 이동 생활을 하면서 사냥과 채집으로 식량을 얻었다.","구석기 생활","농경은 신석기 시대 이후","구석기=사냥·채집",""
"신석기 시대의 대표적인 유물로 가장 적절한 것은?","빗살무늬토기","비파형동검","세형동검","금관","1","선사","문화","중","기본","자체제작","자체제작","2026","한국사 선사시대","신석기,빗살무늬토기","빗살무늬토기는 신석기 시대를 대표하는 토기이다.","빗살무늬토기","비파형동검은 청동기 시대","신석기=빗살무늬토기",""
"고조선의 사회 모습을 보여 주는 자료로 알려진 것은?","8조법","경국대전","대명률","속대전","1","고대","사회","중","사료","자체제작","자체제작","2026","고조선 사회","고조선,8조법","고조선의 8조법은 당시 사회의 질서와 생활 모습을 이해하는 자료이다.","8조법","경국대전은 조선 시대 법전","고조선=8조법",""
"다음 중 고려를 건국한 인물은?","왕건","궁예","견훤","김춘추","1","고려","정치","중","기본","자체제작","자체제작","2026","고려 건국","왕건,고려,태조","왕건은 후삼국을 통일하고 고려를 건국하였다.","고려 건국","궁예는 후고구려를 세운 인물","왕건=고려 건국",""
"고려 시대에 세계적으로 널리 알려진 문화유산은?","직지심체요절","훈민정음","동국통감","경국대전","1","고려","문화","상","문화","자체제작","자체제작","2026","고려 문화유산","직지,금속활자,고려","직지심체요절은 현존하는 세계 최고 금속활자본으로 알려져 있다.","금속활자","훈민정음은 조선 세종 때 창제","고려=직지",""
"팔만대장경이 만들어진 주요 배경으로 옳은 것은?","몽골의 침입을 물리치려는 염원","임진왜란 극복","병자호란 극복","일제강점기 독립운동","1","고려","문화","상","사료","자체제작","자체제작","2026","고려 대장경","팔만대장경,몽골","팔만대장경은 몽골의 침입을 극복하고자 하는 염원 속에서 조성되었다.","팔만대장경","조선의 전쟁과 연결하면 안 됨","팔만대장경=몽골 침입 극복 염원",""
"조선을 건국한 인물은?","이성계","정도전","이방원","세종","1","조선","정치","중","기본","자체제작","자체제작","2026","조선 건국","이성계,조선건국","이성계는 1392년 조선을 건국하였다.","조선 건국","정도전은 건국 과정에서 중요한 역할을 했으나 왕은 아님","이성계=조선 건국",""
"훈민정음을 창제한 왕은?","태조","세종","성종","정조","2","조선","문화","중","기본","자체제작","자체제작","2026","훈민정음","세종,훈민정음","세종은 백성이 쉽게 사용할 수 있는 문자인 훈민정음을 창제하였다.","훈민정음","성종과 정조를 혼동하지 않기","세종=훈민정음",""
"조선 시대의 중앙 정치 조직인 의정부와 6조의 관계를 가장 잘 설명한 것은?","의정부가 국왕을 폐위하였다","6조가 모든 군사권을 독점하였다","의정부가 국정을 심의하고 6조가 행정을 담당하였다","6조는 지방 행정만 담당하였다","3","조선","정치","상","자료분석","자체제작","자체제작","2026","조선 중앙정치","의정부,6조,중앙정치","의정부와 6조는 조선의 대표적인 중앙 정치 운영 체계였다.","의정부·6조","6조를 지방 행정기관으로 보면 안 됨","의정부=심의,6조=행정",""
"조선 시대 성리학적 질서를 강화하는 데 중요한 역할을 한 기관은?","성균관","훈련도감","비변사","장용영","1","조선","사회","중","기본","자체제작","자체제작","2026","조선 교육제도","성균관,성리학","성균관은 유학 교육과 인재 양성을 담당한 대표적인 교육기관이다.","성균관","훈련도감은 군사기관","성균관=유학 교육",""
"임진왜란 때 조선 수군을 이끈 대표적인 장수는?","이순신","강감찬","서희","윤관","1","조선","정치","중","기본","자체제작","자체제작","2026","임진왜란","이순신,임진왜란,수군","이순신은 임진왜란 당시 조선 수군을 지휘하였다.","이순신","강감찬은 고려의 장수","이순신=임진왜란 수군",""
"조선 후기 실학자들의 공통적인 문제의식으로 가장 적절한 것은?","현실 사회의 문제를 해결하려는 학문적 태도","불교의 전국적 확대","골품제 부활","신분제 강화","1","조선","사회","상","자료분석","자체제작","자체제작","2026","조선 후기 실학","실학,현실개혁","실학자들은 현실 사회의 문제를 연구하고 개혁 방안을 제시하려 하였다.","실학","실학을 신분제 강화와 연결하면 안 됨","실학=현실 문제 해결",""
"흥선대원군이 실시한 정책으로 옳은 것은?","서원 철폐","훈민정음 창제","과거제 최초 실시","대한제국 선포","1","개항기","정치","중","기본","자체제작","자체제작","2026","흥선대원군 정책","흥선대원군,서원철폐","흥선대원군은 왕권 강화를 위해 서원을 대폭 정리하였다.","서원 철폐","대한제국 선포는 고종","대원군=서원철폐",""
"강화도 조약의 성격으로 옳은 것은?","조선과 일본 사이에 체결된 최초의 근대적 조약","조선과 청의 군사동맹","대한제국과 러시아의 조약","일본의 식민지배를 공식적으로 시작한 조약","1","개항기","정치","상","사료","자체제작","자체제작","2026","강화도 조약","강화도조약,개항,일본","강화도 조약은 1876년 조선과 일본 사이에 체결되었으며 조선의 개항으로 이어졌다.","강화도 조약","한일병합조약과 구분","강화도조약=1876 개항",""
"갑신정변의 주요 목표로 볼 수 있는 것은?","근대적 개혁 추진","고려 왕조 부활","쇄국 정책 강화","일제 식민통치 강화","1","개항기","정치","상","자료분석","자체제작","자체제작","2026","개화 정책","갑신정변,개화파,근대화","갑신정변은 급진 개화파가 근대적 국가 건설을 목표로 일으킨 정변이다.","갑신정변","동학농민운동과 직접 동일시하지 않기","갑신정변=급진개화파 개혁",""
"동학농민운동의 구호와 관련 깊은 것은?","사인여천","홍익인간","위정척사","삼정이정","1","개항기","사회","상","사료","자체제작","자체제작","2026","동학농민운동","동학,사인여천,농민운동","동학의 인간 존중 사상은 동학농민운동의 사상적 배경 가운데 하나였다.","동학의 인간 존중","위정척사는 척사 운동의 논리","동학=사인여천",""
"3·1 운동의 역사적 의의로 가장 적절한 것은?","전국적인 독립 만세 운동으로 전개되었다","조선 왕조가 다시 수립되었다","대한제국이 처음 수립되었다","일본이 즉시 조선에서 철수하였다","1","일제강점기","사회","중","사료","자체제작","자체제작","2026","3·1 운동","3.1운동,독립운동,만세운동","3·1 운동은 전국적으로 확산된 대규모 독립 만세 운동이었다.","3·1 운동","일본의 즉각적인 철수로 이어진 것은 아님","3·1=전국적 독립 만세",""
"대한민국 임시정부가 수립된 지역은?","상하이","도쿄","베이징","블라디보스토크","1","일제강점기","정치","중","기본","자체제작","자체제작","2026","대한민국 임시정부","임시정부,상하이","대한민국 임시정부는 1919년 중국 상하이에서 수립되었다.","대한민국 임시정부","임시정부와 광복군 활동 지역을 혼동하지 않기","임시정부=상하이",""
"광복 이후 대한민국 정부가 수립된 해는?","1945년","1948년","1950년","1953년","2","현대","정치","중","기본","자체제작","자체제작","2026","대한민국 정부 수립","1948,대한민국정부","대한민국 정부는 1948년에 수립되었다.","대한민국 정부 수립","1945년은 광복","1945=광복,1948=정부 수립",""
"6월 민주항쟁의 결과와 관련이 깊은 것은?","대통령 직선제 개헌","조선총독부 설치","대한제국 선포","한일병합조약 체결","1","현대","정치","상","자료분석","자체제작","자체제작","2026","민주화 운동","6월민주항쟁,직선제","6월 민주항쟁은 대통령 직선제 개헌을 이끌어 내는 중요한 계기가 되었다.","6월 민주항쟁","4·19 혁명과 구분","6월항쟁=직선제 개헌",""
